Countries1,Both sexes,Male,Female
2000,2019,Trend2,2000,2019,Trend2,2000,2019,Trend2
Cuba,15.6,10.2,-1.5a,22.7,16.7,-1.0a,8.9,4.1,-3.3a
Cyprus,1.9,3.2,+5.1a,2.6,5.3,+6.3a,1.2,1.1,+0.6
Czechia,13.4,9.5,-1.2a,22.6,15.4,-1.5a,5.1,3.8,-0.8a
DPR Korea,10.3,8.2,-0.7a,12.3,10.6,-0.2,8.9,6.3,-1.4a
DR Congo,14.5,12.4,-1.0a,24.9,20.7,-1.1a,5.7,5.0,-1.0a
Denmark,12.5,7.6,-2.3a,18.9,11.1,-2.3a,6.4,4.2,-2.3a
Djibouti,12.1,11.9,+0.1,17.1,16.3,-0.2,7.5,7.6,+0.2
Dominican Republic,4.9,5.1,+1.1a,8.3,8.5,+1.1a,1.6,1.9,+1.3a
Ecuador,6.8,7.7,+0.2,9.6,11.9,+0.8,4.2,3.6,-1.3a
Egypt,3.6,3.4,-0.3,4.7,4.7,+0.2,2.7,2.2,-1.1a
El Salvador,6.7,6.1,-0.9,10.6,11.1,-0.4,3.4,2.1,-2.4a
Equatorial Guinea,19.4,13.5,-0.9a,31.0,18.5,-1.7a,7.8,8.8,+1.3a
Eritrea,23.4,17.3,-1.3a,38.4,27.2,-1.5a,9.6,8.3,-0.5a
Estonia,25.0,12.0,-3.8a,43.1,20.2,-4.0a,9.6,4.5,-3.2a
Eswatini,40.6,40.5,-0.8,65.5,78.7,+0.4,20.9,6.4,-7.5a
Ethiopia,18.4,9.5,-3.8a,25.9,14.2,-3.3a,11.2,5.2,-4.6a
Fiji,11.7,9.5,-0.6a,15.3,13.1,-0.2,8.2,6.0,-1.4a
Finland,21.7,13.4,-2.5a,33.3,20.1,-2.7a,10.4,6.8,-2.1a
France,15.8,9.7,-2.6a,24.2,15.2,-2.3a,8.3,4.5,-3.3a
Gabon,19.4,13.1,-1.5a,33.2,23.3,-1.2a,7.5,3.8,-3.4a
Gambia,11.1,9.6,-0.9a,15.3,13.3,-1.0a,7.1,6.2,-0.8a
Georgia,6.6,7.7,+2.1a,11.9,14.0,+2.3a,2.2,2.2,+0.3
Germany,11.2,8.3,-1.4a,17.6,12.8,-1.6a,5.3,3.9,-1.3a
Ghana,9.8,10.5,+0.3,17.2,20.0,+0.7,2.9,1.8,-3.0a
Greece,2.9,3.6,+2.6a,4.6,5.9,+2.5a,1.2,1.5,+3.4a
Grenada,2.1,0.6,-8.5a,3.8,0.5,-,0.6,0.7,-
Guatemala,13.5,6.2,-5.5a,24.0,10.3,-6.0a,4.1,2.5,-3.4a
Guinea,9.7,12.3,+1.6a,13.7,18.4,+1.9a,6.7,8.0,+1.3a
Guinea-Bissau,17.5,12.4,-1.6a,28.7,19.8,-1.8a,8.8,6.7,-1.3a
Guyana,35.8,40.9,+0.5a,57.6,65.0,+0.5,14.5,17,+0.4
Haiti,12.7,11.2,-0.4a,14.7,14.9,+0.5a,11.1,8.0,-1.5a
Honduras,3.0,2.6,+0.2,5.1,4.4,+0.3,1.1,1.0,-0.8a
Hungary,26.6,11.8,-3.7a,44.7,19.1,-3.9a,11.0,5.5,-3.1a
Iceland,12.7,11.2,-0.2,19.3,18.7,+0.6,6.0,3.5,-3.1a
India,19.1,12.9,-2.3a,20.9,14.7,-2.2a,17.4,11.1,-2.4a
Indonesia,3.8,2.6,-2.2a,5.5,4.0,-2.0a,2.1,1.2,-3.1a
Iran,8.0,5.1,-1.5a,10.1,7.5,-0.3,5.9,2.8,-3.7a
Iraq,5.3,4.7,+0.0,7.2,7.3,+0.6a,3.4,2.4,-1.3a
Ireland,12.1,8.9,-1.4a,19.8,14.3,-1.4a,4.4,3.6,-1.1a
Israel,6.8,5.2,-1.4a,11.0,8.3,-1.5a,2.8,2.1,-1.3a
Italy,5.5,4.3,-0.8a,8.7,6.7,-0.9a,2.7,2.1,-0.9a
Jamaica,2.1,2.3,+1.1a,3.3,3.6,+1.0a,0.9,1.0,+1.3a
Japan,18.1,12.2,-1.9a,26.8,17.5,-2.2a,9.6,6.9,-1.4a
Jordan,3.5,2.0,-3.4a,4.5,3.0,-2.5a,2.4,0.9,-6.0a
Kazakhstan,39.4,18.1,-4.2a,71.7,30.9,-4.5a,11.4,6.9,-2.9a
Kenya,15.8,11.0,-1.7a,24.8,18.1,-1.5a,8.2,5.3,-2.0a
Kiribati,35.6,30.6,-0.6a,62.6,53.6,-0.6a,11.1,9.5,-0.6a
Kuwait,3.1,2.7,-0.9a,4.1,3.8,-0.3,1.5,0.7,-4.5a
Kyrgyzstan,17.6,8.3,-3.5a,30.7,13.5,-3.8a,5.5,3.5,-1.9a
Lao PDR,8.7,6.0,-2.0a,11.0,8.6,-1.3a,6.5,3.5,-3.5a
Latvia,29.6,16.1,-3.0a,54.3,29.0,-3.0a,9.4,4.6,-3.9a
Lebanon,3.0,2.8,-0.2,3.7,3.9,+0.6a,2.4,1.7,-1.8a
Lesotho,42.6,87.5,+6.0a,73.9,146.9,+5.7a,16.0,34.6,+6.1a
Liberia,8.8,7.4,-0.7a,11.0,9.4,-0.6a,6.7,5.5,-0.7a
Libya,5.3,4.5,+0.1,7.1,6.1,+0.2,3.3,2.9,+0.3
Lithuania,45.8,20.2,-3.4a,80.7,36.1,-3.4a,15.3,6.2,-3.4a
Luxembourg,13.4,8.6,-2.8a,20.3,11.8,-3.6a,7.1,5.4,-1.2
Madagascar,10.8,9.2,-1.0a,15.5,13.3,-0.9a,6.1,5.4,-0.8a
Malawi,19.2,10.6,-2.4a,31.8,20.0,-1.8a,8.4,3.3,-4.1a
Malaysia,6.1,5.8,-0.5a,9.1,9.0,-0.3,3.1,2.4,-1.3a
Maldives,5.3,2.8,-3.1a,8.1,4.1,-3.4a,2.3,0.9,-4.9a
Mali,8.8,8.0,-0.4a,10.6,10.5,+0.0,7.2,5.7,-1.0a
Malta,6.0,5.3,+0.2,9.8,8.4,+0.5,2.4,2.3,-0.6
Mauritania,6.4,5.5,-0.8a,8.2,7.4,-0.6a,4.9,3.9,-1.2a
Mauritius,11.5,8.8,-0.8,18.4,15.0,-0.5,4.9,2.5,-2.1a
Mexico,3.9,5.3,+2.0a,6.9,8.7,+1.7a,1.1,2.2,+3.6a
Micronesia,28.0,29.0,+0.3a,43.4,44.3,+0.2a,13.0,13.2,+0.3a
Mongolia,23.6,18.0,-1.5a,37.6,31.1,-1.1a,10.2,5.6,-2.8a
Montenegro,18.9,16.2,-0.8a,28.9,25.4,-0.7a,9.8,7.9,-1.1a
Morocco,10.8,7.3,-2.3a,13.9,10.1,-2.0a,8.0,4.7,-2.8a
Mozambique,20.9,23.2,+0.9a,36.2,42.6,+1.2a,8.8,8.9,+0.6
Myanmar,5.1,3.0,-2.8a,8.1,5.1,-2.2a,2.6,1.1,-5.0a
Namibia,27.5,13.5,-4.1a,47.5,24.9,-3.9a,11.4,4.4,-4.8a
Nepal,10.9,9.8,-0.3,19.4,18.6,+0.2,2.8,2.9,+0.5a
Netherlands,8.1,9.3,+1.1a,11.2,12.5,+0.9a,5.2,6.1,+1.3a
New Zealand,12.4,10.3,-0.9a,20.8,15.4,-1.2a,4.4,5.4,+0.0
Nicaragua,6.3,4.7,-1.7a,9.3,7.8,-1.5a,3.6,1.9,-2.4a
Niger,9.5,10.1,+0.3a,12.6,14.1,+0.6a,6.7,6.4,-0.2a
Nigeria,9.2,6.9,-1.7a,13.7,10.1,-1.7a,5.1,3.8,-2.0a
North Macedonia,8.7,7.2,-1.6a,12.5,11.0,-1.5a,4.9,3.5,-1.9a
Norway,13.0,9.9,-1.0a,19.9,13.4,-1.5a,6.1,6.3,+0.1
Oman,6.7,4.5,-2.5a,10.1,6.4,-2.9a,2.0,1.1,-3.1a
Pakistan,11.1,9.8,-0.8a,16.1,14.6,-0.7a,5.7,4.8,-1.2a
Panama,5.9,2.9,-4.4a,10.4,4.8,-4.5a,1.5,1.0,-3.6a
Papua New Guinea,2.8,3.6,+1.1a,4.4,5.2,+0.9a,1.4,1.9,+1.4a
Paraguay,3.6,6.2,+3.0a,4.8,9.0,+3.5a,2.5,3.3,+1.5a
Peru,3.4,2.7,-0.8a,4.6,4.1,-0.2,2.4,1.4,-2.3a
Philippines,2.3,2.5,+1.4a,3.5,3.9,+1.6a,1.1,1.3,+1.5a
Poland,15.3,9.3,-1.9a,26.8,16.5,-1.8a,4.7,2.4,-2.9a
Portugal,5.5,7.2,+0.4,9.5,11.6,+0.1,2.1,3.5,+1.3a
Qatar,7.6,4.7,-2.8a,10.0,5.7,-3.3a,2.6,1.7,-2.1a
Republic of Korea,13.9,21.2,+1.1,20.4,29.7,+1.0,8.2,13.4,+1.0
Moldova,16.3,12.2,-1.9a,30.7,22.1,-2.0a,4.2,3.3,-2.0a
Romania,11.3,7.3,-2.1a,19.4,12.6,-2.1a,3.7,2.4,-2.4a
Russian Federation,48.9,21.6,-4.1a,88.8,38.2,-4.3a,13.4,7.2,-3.1a
Rwanda,25.6,9.5,-4.9a,38.8,14.8,-4.7a,14.0,5.0,-5.2a
Saint Lucia,8.1,6.9,-0.4,14.5,12.5,-0.4,2.1,1.5,-1.1a
Saint Vincent,6.5,1.0,-,12.6,1.3,-,0.5,0.7,-
Samoa,16.3,14.6,-0.5a,24.1,20.9,-0.7a,7.8,7.8,+0.2
Sao Tome and Principe,2.2,2.2,-0.2,3.2,3.3,-0.1,1.4,1.2,-0.8a
Saudi Arabia,3.8,5.4,+2.8a,5.7,7.8,+2.6a,1.4,1.9,+3.2a
Senegal,14.4,11.0,-1.3a,23.5,18.5,-1.1a,6.8,5.2,-1.2a
Serbia,18.9,7.9,-7.6a,29.0,12.2,-8.1a,10.1,3.9,-6.9a
Seychelles,9.8,7.7,-1.2a,18.4,14.0,-1.5a,1.7,1.3,-1.4a
Sierra Leone,10.1,11.3,+0.2,14.4,14.8,-0.2,6.5,8.2,+0.9a
Singapore,11.4,9.7,-2.0a,15.2,12.7,-1.9a,7.8,6.4,-2.7a
Slovakia,12.6,9.3,-1.8a,21.9,16.7,-1.7a,4.3,2.6,-2.2a
Slovenia,25.6,14.0,-3.4a,40.4,22.7,-3.3a,12.6,5.5,-4.2a
Solomon Islands,17.4,17.4,+0.3,32.0,32.2,+0.3a,2.1,2.4,+1.3a
Somalia,16.8,14.7,-0.8a,26.0,22.8,-0.8a,7.9,7.1,-0.5a
South Africa,26.6,23.5,-0.8a,42.7,37.9,-0.6a,11.6,9.8,-1.5a
South Sudan,7.9,6.7,-0.9a,12.4,10.4,-1.0a,3.9,3.4,-0.8a
Spain,6.6,5.3,-0.8a,10.5,7.9,-1.1a,3.0,2.8,+0.0
Sri Lanka,27.4,12.9,-3.7a,41.5,20.9,-3.3a,14,6.1,-3.9a
Sudan,5.6,4.8,-0.8a,7.2,6.3,-0.7a,4.0,3.3,-0.9a
Suriname,25.0,25.9,-0.3a,38.8,41.3,-0.2,11.8,11.8,-0.1
Sweden,12.2,12.4,+0.1,17.1,16.9,-0.1,7.5,7.7,+0.4
Switzerland,15.9,9.8,-2.8a,23.7,14.2,-2.7a,8.6,5.7,-3.0a
Syria,2.0,2.1,+0.5a,3.2,3.5,+0.7a,0.9,0.8,+0.1
Tajikistan,5.1,5.3,+0.7a,7.3,7.4,+0.4a,2.9,3.4,+1.5a
Thailand,11.6,8.0,-2.1a,16.4,13.9,-1.2a,7.1,2.3,-5.4a
Timor-Leste,4.9,4.5,-0.2,6.5,6.7,+0.4,3.3,2.4,-1.7a
Togo,17.3,14.8,-1.0a,27.0,24.0,-0.8a,8.6,6.5,-1.7a
Tonga,5.1,4.4,-0.2,6.7,5.9,-0.1,3.6,2.9,-0.5a
Trinidad and Tobago,16.2,8.3,-3.2a,26.4,13.1,-3.5a,6.3,3.7,-1.8a
Tunisia,3.9,3.2,-1.6a,5.2,4.6,-1.1a,2.6,1.8,-2.3a
Turkey,4.2,2.3,-2.9a,6.7,3.6,-3.2a,1.9,1.2,-2.2a
Turkmenistan,13.8,6.1,-5.9a,23.7,9.4,-6.5a,4.6,2.9,-3.6a
Uganda,21.7,10.4,-4.5a,38.6,19.4,-4.2a,8.6,3.7,-5.4a
Ukraine,33.5,17.7,-3.7a,62.7,32.7,-3.8a,8.5,4.7,-3.2a
United Arab Emirates,8.0,5.2,-2.4a,9.3,6.3,-2.3a,4.7,2.6,-3.1a
United Kingdom,7.7,6.9,+0.0,12.0,10.4,-0.1,3.6,3.4,+0.2
Tanzania,15.6,8.2,-3.1a,24.5,13.5,-2.8a,8.1,3.7,-3.7a
United States of America,10.0,14.5,+1.9a,16.4,22.4,+1.6a,4.0,6.8,+2.7a
Uruguay,14.5,18.8,+1.5a,25.7,31.1,+1.4a,5.1,7.7,+1.3a
Uzbekistan,12.0,8.3,-1.5a,19.6,11.8,-2.2a,4.8,4.9,+0.7a
Vanuatu,23.2,21.0,-0.4a,36.0,33.1,-0.3a,10.1,9.0,-0.6a
Venezuela,6.4,2.1,-6.2a,11.3,3.7,-6.2a,1.7,0.7,-5.6a
Viet Nam,7.2,7.2,+0.4a,9.4,10.6,+1.1a,5.2,4.2,-1.0a
Yemen,8.5,7.1,-1.1a,10.5,9.0,-1.0a,6.5,5.3,-1.3a
Zambia,24.0,14.4,-2.2a,35.9,25.7,-1.4a,14.5,5.3,-4.4a
Zimbabwe,20.0,23.6,+1.9a,28.2,37.8,+2.7a,14.2,13.5,+0.8
